,SNIa_Probability,SNII_Probability,SNIbc_Probability,SLSN_Probability,ZTF_ID,host_ra,hostdec,has_host?,TNS_Classification,Alerce_SNIa_Probability,Alerce_SNII_Probability,Alerce_SNIbc_Probability,Alerce_SLSN_Probability
8978,0.558666667,0.221333333,0.210333333,0.009666667,ZTF21aaapfal,250.5392208,35.60002881,True,Object Not Found,0.38,0.194,0.25,0.176
8979,0.169666667,0.238333333,0.589666667,0.002333333,ZTF20aczgvrr,245.0315196,35.72877327,True,Object Not Found,0.24,0.212,0.4,0.148
8980,0.073333333,0.554,0.360666667,0.012,ZTF20acwytht,235.4837935,16.15005387,True,Object Not Found,0.048,0.538,0.208,0.206
8981,0.217,0.183666667,0.109333333,0.49,ZTF20acmhmzl,251.0298758,33.15173139,True,Object Not Found,0.402,0.228,0.224,0.146
8982,0.093333333,0.366,0.523333333,0.017333333,ZTF20aczhajq,247.1634902,39.5185568,True,Object Not Found,0.204,0.316,0.362,0.118
8983,0.135666667,0.372333333,0.424,0.068,ZTF19aailrlv,199.005429,9.98547039,True,Object Not Found,0.23,0.306,0.22,0.244
8984,0.121,0.403666667,0.231666667,0.243666667,ZTF20acwytxn,238.7581095,16.30451992,True,Object Not Found,0.064,0.354,0.122,0.46
8985,0.600333333,0.124333333,0.174333333,0.101,ZTF19aapakwu,238.9538862,44.05015102,True,Object Not Found,0.376,0.192,0.252,0.18
8986,0.163666667,0.334333333,0.439333333,0.062666667,ZTF18aauworo,239.6696391,21.11751175,True,Object Not Found,0.386,0.204,0.328,0.082
8987,0.547666667,0.172,0.167666667,0.112666667,ZTF20abqlhin,29.29513945,-1.48232794,True,Object Not Found,0.398,0.16,0.18,0.262
8988,0.396,0.296333333,0.278,0.029666667,ZTF20abstxyy,3.07852331,34.40870012,True,Object Not Found,0.216,0.236,0.17,0.378
8989,0.283333333,0.237666667,0.383333333,0.095666667,ZTF20abvywxb,15.40419246,54.70650263,True,Object Not Found,0.294,0.266,0.266,0.174
8990,0.382333333,0.186333333,0.137,0.294333333,ZTF20absgwch,359.7441315,3.74050939,True,Object Not Found,0.404,0.266,0.202,0.128
8991,0.355666667,0.301,0.339333333,0.004,ZTF20abzwubz,344.8864835,-7.50241258,True,Object Not Found,0.324,0.134,0.292,0.25
8992,0.57,0.095,0.178,0.157,ZTF20acngwfc,124.0068487,-5.73092621,True,Object Not Found,0.342,0.204,0.184,0.27
8993,0.543333333,0.101333333,0.300333333,0.055,ZTF20aclfavg,91.15237264,44.29470309,True,Object Not Found,0.272,0.196,0.17,0.362
8994,0.387333333,0.29,0.316333333,0.006333333,ZTF21aaaadmi,347.3191805,22.34924274,True,Object Not Found,0.366,0.174,0.194,0.266
8995,0.059333333,0.61,0.137,0.193666667,ZTF19aadnxnl,203.8176036,44.76139844,True,Object Not Found,0.14,0.436,0.162,0.262
8996,0.474666667,0.132666667,0.11,0.282666667,ZTF20acnwjqa,291.5387838,82.55780498,True,Object Not Found,0.476,0.19,0.22,0.114
8997,0.252666667,0.286333333,0.433666667,0.027333333,ZTF20acphvzi,,,False,Object Not Found,0.426,0.138,0.364,0.072
8998,0.162,0.244,0.571,0.023,ZTF19aanevry,150.0244799,7.8566307,True,Object Not Found,0.168,0.178,0.392,0.262
8999,0.715666667,0.065666667,0.193333333,0.025333333,ZTF19aabyuzq,190.4070319,48.26890936,True,Object Not Found,,,,
9000,0.292666667,0.195666667,0.447666667,0.064,ZTF18abihaqc,330.4654623,48.20688902,True,Object Not Found,0.224,0.34,0.226,0.21
9001,0.573333333,0.124666667,0.200666667,0.101333333,ZTF18aaxqfrr,180.0996942,40.04583358,True,SN Ia,0.428,0.126,0.244,0.202
9002,0.123333333,0.282666667,0.578666667,0.015333333,ZTF18aarpqof,256.3081502,56.21956648,True,Object Not Found,0.25,0.16,0.54,0.05
9003,0.562333333,0.146,0.160666667,0.131,ZTF19aanhkjr,211.4017178,14.48692465,True,SN Ia,0.346,0.202,0.208,0.244
9004,0.645,0.082,0.178,0.095,ZTF19aaozpxb,199.5013693,56.71008103,True,SN Ia,0.516,0.146,0.216,0.122
9005,0.267,0.206666667,0.506333333,0.02,ZTF19actfqhp,156.2729817,17.27011116,True,SN Ia,0.372,0.214,0.306,0.108
9006,0.199333333,0.224666667,0.123333333,0.452666667,ZTF20aaazjwc,247.1940777,3.84577401,True,SN Ia,0.306,0.218,0.36,0.116
9007,0.577333333,0.105,0.234333333,0.083333333,ZTF19aczkjai,210.4417592,24.06518277,True,SN II,0.492,0.14,0.252,0.116
9008,0.633,0.081333333,0.249666667,0.036,ZTF20aaivego,30.61002627,10.96663324,True,No Classification,0.414,0.206,0.224,0.156
9009,0.550333333,0.181666667,0.247666667,0.020333333,ZTF20aatrugm,235.1612558,58.62551203,True,SN Ia,0.242,0.268,0.16,0.33
9010,0.191666667,0.278333333,0.154666667,0.375333333,ZTF20aauupck,,,False,SN Ia,0.176,0.198,0.354,0.272
9011,0.423666667,0.193333333,0.281333333,0.101666667,ZTF19acxyucs,196.1628974,15.3548132,True,Object Not Found,0.432,0.184,0.25,0.134
9012,0.570666667,0.119666667,0.191333333,0.118333333,ZTF20aamkotf,,,False,SN Ia,0.374,0.196,0.158,0.272
9013,0.595333333,0.137666667,0.138333333,0.128666667,ZTF20abjrrum,,,False,Object Not Found,0.458,0.132,0.27,0.14
9014,0.146666667,0.299666667,0.480333333,0.073333333,ZTF20abxyajd,27.67981015,-21.77355422,True,Object Not Found,0.162,0.322,0.35,0.166
9015,0.103333333,0.398333333,0.462333333,0.036,ZTF20abxyauq,77.40383387,-0.26257582,True,SN Ia,0.136,0.516,0.2,0.148
9016,0.371,0.345666667,0.228,0.055333333,ZTF20abjwobc,209.557541,15.44057913,True,Object Not Found,0.34,0.192,0.218,0.25
9017,0.298666667,0.143,0.542333333,0.016,ZTF20abzbita,334.2772651,39.91443096,True,Object Not Found,0.22,0.158,0.41,0.212
9018,0.599666667,0.094333333,0.22,0.086,ZTF20acobamg,336.5473115,-26.90027499,True,Object Not Found,0.436,0.184,0.264,0.116
9019,0.561,0.118333333,0.146666667,0.174,ZTF21aaabvzf,199.3245969,4.17365518,True,Object Not Found,0.388,0.164,0.27,0.178
9020,0.683333333,0.103333333,0.191666667,0.021666667,ZTF20acwombm,150.8419478,2.8336618,True,Object Not Found,0.584,0.102,0.24,0.074
9021,0.150666667,0.745666667,0.089666667,0.014,ZTF18abgladq,239.7069728,14.96812389,True,Object Not Found,0.118,0.442,0.202,0.238
9022,0.428333333,0.282,0.285666667,0.004,ZTF20abkfmxw,289.8546578,-8.37864504,True,Object Not Found,,,,
9023,0.106333333,0.2,0.108,0.585666667,ZTF18acnnfty,182.8810923,31.83301234,True,Object Not Found,0.104,0.262,0.066,0.568
