,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4636,False,ZTF20abyvbcu,No Classification,SN Ia,0.395,0.214,0.241,0.15,SNIa,0.344,0.206,0.3,0.15,0.096755
4637,False,ZTF20acezkpi,Object Not Found,SN Ib/c,0.181,0.167,0.63,0.022,SNIbc,0.312,0.166,0.42,0.102,No Redshift
4638,False,ZTF20acgprec,Object Not Found,SN Ia,0.336,0.269,0.243,0.152,SNIa,0.3,0.264,0.24,0.196,No Redshift
4639,False,ZTF20acfxlpo,No Classification,SN Ib/c,0.278,0.252,0.373,0.097,SNIa,0.332,0.21,0.308,0.15,0.1172
4640,False,ZTF20abmgfmm,No Classification,SN Ia,0.386,0.193,0.303,0.118,SNIa,0.3,0.26,0.244,0.196,No Redshift
4641,False,ZTF18aaflyqi,No Classification,SN Ia,0.571,0.146,0.208,0.075,SNIa,0.438,0.2,0.226,0.136,No Redshift
4642,False,ZTF20actoatk,No Classification,SN Ib/c,0.346,0.186,0.4,0.068,SNIbc,0.366,0.172,0.384,0.078,0.100062
4643,False,ZTF19aazpnlc,No Classification,SN Ib/c,0.18,0.291,0.446,0.083,SNIbc,0.276,0.2,0.398,0.126,0.033089
4644,False,ZTF20abnuxug,Object Not Found,SN Ia,0.479,0.123,0.256,0.142,SNIa,0.286,0.252,0.248,0.214,No Redshift
4645,False,ZTF19abgsjbv,Object Not Found,SN Ib/c,0.303,0.218,0.437,0.042,SNIbc,0.364,0.142,0.424,0.07,No Redshift
4646,False,ZTF19abphuan,Object Not Found,SN Ia,0.385,0.202,0.374,0.039,SNIa,0.394,0.166,0.372,0.068,No Redshift
4647,False,ZTF20acvjzbc,No Classification,SN Ia,0.533,0.152,0.206,0.109,SNIa,0.406,0.206,0.27,0.118,No Redshift
4648,False,ZTF19abrjkkg,Object Not Found,SN Ib/c,0.273,0.206,0.365,0.156,SNIa,0.31,0.228,0.292,0.17,No Redshift
4649,False,ZTF19acasxva,No Classification,SLSN,0.307,0.167,0.129,0.397,SNIa,0.304,0.164,0.24,0.292,No Redshift
4650,False,ZTF19abusyne,No Classification,SN Ib/c,0.138,0.352,0.408,0.102,SNIbc,0.258,0.276,0.336,0.13,No Redshift
4651,False,ZTF21aaaosbq,No Classification,SN Ia,0.35,0.227,0.311,0.112,SNIa,0.4,0.166,0.254,0.18,No Redshift
4652,False,ZTF19aaoxkbz,No Classification,SN Ia,0.519,0.134,0.182,0.165,SNIa,0.376,0.178,0.292,0.154,No Redshift
4653,False,ZTF19aanfhqa,No Classification,SN Ib/c,0.294,0.235,0.336,0.135,SNIa,0.404,0.212,0.252,0.132,0.605461
4654,False,ZTF19abrixsh,Object Not Found,SN Ia,0.402,0.123,0.354,0.121,SNIa,0.394,0.184,0.288,0.134,No Redshift
4655,False,ZTF19acdtmwh,No Classification,SN Ia,0.406,0.191,0.332,0.071,SNIbc,0.362,0.154,0.39,0.094,0.070028
